csúcsid;alcsúcsid;kapcsolat
m765;10;m766,m767,
m765;11;m766,m767,
m765;12;m766,m767,
m765;13;m766,m767,
m765;14;m766,m767,
m765;15;m766,m767,
m765;16;m766,m767,
m765;17;m766,m767,
m765;18;m766,m767,
m765;19;m766,m767,
m766;-1;
m766;0;
m766;1;
m767;-1;
m767;0;
m767;1;
m767;2;
m768;-1;
m768;0;
m768;1;
m769;-1;m770,
m769;0;m770,
m769;1;m770,
m769;2;m770,
m770;-1;
m770;0;
m770;1;
m771;0;
m771;1;
m771;2;
m771;3;
m772;0;
m772;1;
m772;2;
m772;3;
m772;4;
m773;0;
m773;1;
m773;2;
m774;0;
m774;1;
m774;2;
m775;0;
m775;1;
m775;2;
m776;0;
m777;0;
m777;1;
m777;2;
m778;0;
m779;0;
m779;1;
m779;2;
m780;0;
m780;1;
m780;2;
m781;0;
m781;1;
m781;2;
m782;0;
m782;1;
m782;2;
m783;0;
m783;1;
m783;2;
m784;0;
m784;1;
m784;2;
m785;0;
m785;1;
m785;2;
m786;-1;
m786;0;
m787;-1;
m787;0;
m788;-1;
m788;0;
m789;-1;
m789;0;
m790;-1;
m790;0;
m791;0;
m791;1;
m791;2;
m791;3;
m791;4;
m791;5;
m791;6;
m791;7;
m791;8;
m791;9;
m791;10;
m792;0;
m792;1;
m792;2;
m792;3;
m792;4;
m793;0;
m793;1;
m793;2;
m793;3;
m793;4;
m794;0;
m794;1;
m794;2;
m795;0;
m795;1;
m795;2;
m796;0;
m796;1;
m797;-1;m798,
m797;1;m798,
m798;0;
m798;1;
m798;2;
m799;-1000;m800,
m799;1;m800,
m800;0;
m800;1;
m800;2;
m800;3;
m800;4;
m804;0;
m804;1;
m804;2;
m804;3;
m807;0;
m807;1;
m807;2;
m808;-1000;m809,
m808;1;m809,
m809;-1000;
m809;1;
m810;0;
m810;1;
m810;2;
m811;0;
m811;1;
m812;0;
m812;1;
m813;0;m840,m841,
m813;1;m840,m841,
m814;0;m840,m841,
m814;1;m840,m841,
m815;0;m840,m841,
m815;1;m840,m841,
m816;0;m840,m841,
m816;1;m840,m841,
m817;0;m840,m841,
m817;1;m840,m841,
m818;0;m840,m841,
m818;1;m840,m841,
m819;0;m840,m841,
m819;1;m840,m841,
m820;0;m840,m841,
m820;1;m840,m841,
m821;0;m840,m841,
m821;1;m840,m841,
m822;0;m840,m841,
m822;1;m840,m841,
m823;0;m840,m841,
m823;1;m840,m841,
m824;0;m840,m841,
m824;1;m840,m841,
m825;0;m840,m841,
m825;1;m840,m841,
m826;0;m840,m841,
m826;1;m840,m841,
m827;0;m840,m841,
m827;1;m840,m841,
m828;0;m840,m841,
m828;1;m840,m841,
m829;0;m840,m841,
m829;1;m840,m841,
m830;0;m840,m841,
m830;1;m840,m841,
m831;0;m840,m841,
m831;1;m840,m841,
m832;0;m840,m841,
m832;1;m840,m841,
m833;0;m840,m841,
m833;1;m840,m841,
m834;0;m840,m841,
m834;1;m840,m841,
m835;0;m840,m841,
m835;1;m840,m841,
m836;0;m840,m841,
m836;1;m840,m841,
m837;0;m840,m841,
m837;1;m840,m841,
m838;0;m840,m841,
m838;1;m840,m841,
m839;0;m840,m841,
m839;1;m840,m841,
m840;1;m841,
m841;0;
m841;1;
m843;0;
m843;1;
m843;2;
m843;3;
m843;4;
m843;5;
m843;6;
m844;1;
m844;2;
m901;-1;
m901;0;
m901;1;
m901;2;
m901;3;
m1001;0;m1001,m1006,m1014,m1016,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1033,
m1001;99;m1001,m1006,m1014,m1016,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1033,
m1002;0;m1001,m1002,m1021,m1039,m1006,m1014,m1016,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1033,
m1002;99;m1001,m1002,m1021,m1039,m1006,m1014,m1016,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1033,
m1003;0;m1003,m1006,m1023,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1016,m1033,
m1003;99;m1003,m1006,m1023,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1016,m1033,
m1004;0;
m1004;1;
m1004;2;
m1004;3;
m1004;4;
m1004;5;
m1004;6;
m1004;7;
m1004;8;
m1005;-1;m1005,m1021,
m1005;0;m1005,m1021,
m1005;1;m1005,m1021,
m1006;0;m1006,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m1006;1;m1006,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m1007;0;
m1007;1;
m1007;2;
m1007;3;
m1007;4;
m1007;5;
m1007;6;
m1007;7;
m1007;8;
m1007;9;
m1007;10;
m1007;11;
m1007;12;
m1007;13;
m1008;0;m1008,m1012,m1021,m1022,m1037,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1049,m1033,m1015,
m1008;99;m1008,m1012,m1021,m1022,m1037,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1049,m1033,m1015,
m1009;0;m82,m83,m214,m901,m1009,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1009;1;m82,m83,m214,m901,m1009,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1009;2;m82,m83,m214,m901,m1009,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1010;0;m78,m83,m265,m1010,m1012,m1016,m1018,m1021,m1022,m1028,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1060,m1063,m1064,m1068,m1049,m1066,m1015,m320,
m1010;1;m78,m83,m265,m1010,m1012,m1016,m1018,m1021,m1022,m1028,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1060,m1063,m1064,m1068,m1049,m1066,m1015,m320,
m1010;2;m78,m83,m265,m1010,m1012,m1016,m1018,m1021,m1022,m1028,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1060,m1063,m1064,m1068,m1049,m1066,m1015,m320,
m1010;3;m78,m83,m265,m1010,m1012,m1016,m1018,m1021,m1022,m1028,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1060,m1063,m1064,m1068,m1049,m1066,m1015,m320,
m1010;4;m78,m83,m265,m1010,m1012,m1016,m1018,m1021,m1022,m1028,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1060,m1063,m1064,m1068,m1049,m1066,m1015,m320,
m1010;5;m78,m83,m265,m1010,m1012,m1016,m1018,m1021,m1022,m1028,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1060,m1063,m1064,m1068,m1049,m1066,m1015,m320,
m1010;6;m78,m83,m265,m1010,m1012,m1016,m1018,m1021,m1022,m1028,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1060,m1063,m1064,m1068,m1049,m1066,m1015,m320,
m1011;0;m81,m83,m265,m1011,m1039,m1048,m1051,m1052,m2001,m79,m80,m1015,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,m1016,m1033,
m1011;1;m81,m83,m265,m1011,m1039,m1048,m1051,m1052,m2001,m79,m80,m1015,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,m1016,m1033,
m1011;99;m81,m83,m265,m1011,m1039,m1048,m1051,m1052,m2001,m79,m80,m1015,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,m1016,m1033,
m1012;0;
m1012;1;
m1012;2;
m1012;3;
m1012;4;
m1014;0;m1014,m1016,m1033,
m1014;1;m1014,m1016,m1033,
m1015;1;
m1015;2;
m1015;3;
m1015;4;
m1015;5;
m1016;0;m1016,m1033,
m1016;1;m1016,m1033,
m1016;2;m1016,m1033,
m1016;3;m1016,m1033,
m1016;4;m1016,m1033,
m1016;5;m1016,m1033,
m1016;6;m1016,m1033,
m1016;7;m1016,m1033,
m1016;8;m1016,m1033,
m1016;9;m1016,m1033,
m1016;10;m1016,m1033,
m1017;0;m1031,m1032,
m1018;0;
m1018;1;
m1018;2;
m1018;3;
m1018;4;
m1019;0;m1011,m1016,m1019,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1066,m79,m80,m1015,m1014,m1038,m1050,m1054,m1049,m2002,m320,
m1019;1;m1011,m1016,m1019,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1066,m79,m80,m1015,m1014,m1038,m1050,m1054,m1049,m2002,m320,
m1019;2;m1011,m1016,m1019,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1066,m79,m80,m1015,m1014,m1038,m1050,m1054,m1049,m2002,m320,
m1019;3;m1011,m1016,m1019,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1066,m79,m80,m1015,m1014,m1038,m1050,m1054,m1049,m2002,m320,
m1019;4;m1011,m1016,m1019,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1066,m79,m80,m1015,m1014,m1038,m1050,m1054,m1049,m2002,m320,
m1020;0;m81,m1008,m1020,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m1020;1;m81,m1008,m1020,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m1020;2;m81,m1008,m1020,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m1021;0;
m1021;1;
m1021;2;
m1021;3;
m1021;4;
m1022;-1;
m1022;0;
m1023;0;m1016,m1023,m1033,
m1023;1;m1016,m1023,m1033,
m1023;2;m1016,m1023,m1033,
m1023;3;m1016,m1023,m1033,
m1023;4;m1016,m1023,m1033,
m1023;5;m1016,m1023,m1033,
m1023;6;m1016,m1023,m1033,
m1023;7;m1016,m1023,m1033,
m1023;8;m1016,m1023,m1033,
m1023;9;m1016,m1023,m1033,
m1024;0;m78,m81,m265,m1008,m1016,m1018,m1024,m1048,m2002,m317,m79,m80,m1015,m1012,m1021,m1022,m1037,m1033,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,
m1024;1;m78,m81,m265,m1008,m1016,m1018,m1024,m1048,m2002,m317,m79,m80,m1015,m1012,m1021,m1022,m1037,m1033,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,
m1024;2;m78,m81,m265,m1008,m1016,m1018,m1024,m1048,m2002,m317,m79,m80,m1015,m1012,m1021,m1022,m1037,m1033,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,
m1024;3;m78,m81,m265,m1008,m1016,m1018,m1024,m1048,m2002,m317,m79,m80,m1015,m1012,m1021,m1022,m1037,m1033,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,
m1025;0;m78,m1011,m1016,m1025,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m1025;1;m78,m1011,m1016,m1025,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m1025;2;m78,m1011,m1016,m1025,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m1025;3;m78,m1011,m1016,m1025,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m1025;4;m78,m1011,m1016,m1025,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m1026;0;m1008,m1026,m1048,m1012,m1021,m1022,m1037,m1049,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1033,m1015,
m1026;1;m1008,m1026,m1048,m1012,m1021,m1022,m1037,m1049,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1033,m1015,
m1026;2;m1008,m1026,m1048,m1012,m1021,m1022,m1037,m1049,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1033,m1015,
m1027;0;m81,m1008,m1027,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m1027;1;m81,m1008,m1027,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m1027;2;m81,m1008,m1027,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m1028;0;m1060,m1063,m1064,m1068,
m1028;1;m1060,m1063,m1064,m1068,
m1028;2;m1060,m1063,m1064,m1068,
m1028;3;m1060,m1063,m1064,m1068,
m1028;4;m1060,m1063,m1064,m1068,
m1028;5;m1060,m1063,m1064,m1068,
m1029;-1;
m1029;0;
m1029;1;
m1030;0;
m1030;1;
m1030;2;
m1030;3;
m1030;4;
m1031;-1;
m1031;1;
m1032;-1;
m1032;1;
m1033;0;
m1033;1;
m1033;2;
m1033;3;
m1033;4;
m1034;-1;m1034,m1043,m1009,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1034;0;m1034,m1043,m1009,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1035;-1;m1035,m1044,m1009,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1035;0;m1035,m1044,m1009,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1036;0;
m1036;1;
m1036;2;
m1036;3;
m1036;4;
m1036;5;
m1036;6;
m1037;0;m83,m1037,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1049,m1033,m1015,
m1037;1;m83,m1037,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1049,m1033,m1015,
m1037;99;m83,m1037,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1049,m1033,m1015,
m1038;0;m320,m1038,m1049,m1015,
m1038;1;m320,m1038,m1049,m1015,
m1038;2;m320,m1038,m1049,m1015,
m1039;0;
m1039;1;
m1039;2;
m1039;3;
m1039;4;
m1039;5;
m1039;6;
m1039;7;
m1039;8;
m1041;1;
m1041;2;
m1041;3;
m1041;4;
m1041;5;
m1041;6;
m1041;99;
m1042;0;
m1042;1;
m1042;2;
m1042;3;
m1042;4;
m1043;0;m1009,m1043,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1043;1;m1009,m1043,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1043;2;m1009,m1043,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1044;0;m1009,m1044,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1044;1;m1009,m1044,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1044;2;m1009,m1044,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m1045;0;m1063,m1064,m1065,m1066,
m1045;1;m1063,m1064,m1065,m1066,
m1045;2;m1063,m1064,m1065,m1066,
m1045;3;m1063,m1064,m1065,m1066,
m1045;4;m1063,m1064,m1065,m1066,
m1045;5;m1063,m1064,m1065,m1066,
m1046;0;
m1046;1;
m1046;2;
m1046;3;
m1046;4;
m1046;5;
m1046;6;
m1047;0;
m1047;1;
m1047;2;
m1047;3;
m1047;4;
m1047;5;
m1047;6;
m1048;-1;m1048,m1049,
m1048;0;m1048,m1049,
m1049;0;
m1049;1;
m1049;2;
m1049;3;
m1049;4;
m1049;5;
m1049;6;
m1049;7;
m1049;8;
m1049;9;
m1049;10;
m1049;11;
m1049;12;
m1049;13;
m1049;14;
m1049;15;
m1049;16;
m1050;0;
m1050;1;
m1050;2;
m1050;3;
m1050;4;
m1051;0;
m1051;1;
m1051;2;
m1051;3;
m1051;4;
m1051;5;
m1051;6;
m1051;7;
m1051;8;
m1051;9;
m1051;10;
m1051;11;
m1051;12;
m1051;13;
m1051;14;
m1051;15;
m1051;16;
m1052;0;
m1052;1;
m1052;2;
m1052;3;
m1052;4;
m1052;5;
m1052;6;
m1052;7;
m1052;8;
m1053;0;
m1053;1;
m1053;2;
m1053;3;
m1053;99;
m1054;0;
m1054;1;
m1054;2;
m1054;3;
m1054;4;
m1054;5;
m1054;6;
m1054;7;
m1054;8;
m1054;9;
m1054;10;
m1055;0;
m1055;1;
m1055;2;
m1055;3;
m1055;4;
m1055;5;
m1055;6;
m1055;7;
m1055;8;
m1056;0;
m1056;1;
m1056;2;
m1057;0;
m1057;1;
m1057;2;
m1057;3;
m1057;4;
m1057;5;
m1057;6;
m1058;0;
m1058;1;
m1058;2;
m1058;3;
m1058;4;
m1058;5;
m1058;6;
m1059;0;m1062,m1065,m1068,m1066,
m1059;1;m1062,m1065,m1068,m1066,
m1059;2;m1062,m1065,m1068,m1066,
m1059;3;m1062,m1065,m1068,m1066,
m1059;4;m1062,m1065,m1068,m1066,
m1060;0;
m1060;1;
m1060;2;
m1061;0;
m1061;1;
m1061;2;
m1062;-1;
m1062;0;
m1063;-1;
m1063;0;
m1064;-1;
m1064;0;
m1065;-1;m1066,
m1065;0;m1066,
m1065;1;m1066,
m1065;2;m1066,
m1065;3;m1066,
m1065;4;m1066,
m1066;0;
m1066;1;
m1066;2;
m1067;0;m1062,
m1067;1;m1062,
m1067;2;m1062,
m1067;3;m1062,
m1067;4;m1062,
m1067;5;m1062,
m1068;-1;
m1068;0;
m1068;1;
m1068;2;
m1068;3;
m1069;0;
m1069;1;
m1069;2;
m1069;3;
m1070;0;
m1070;1;
m1070;2;
m1070;3;
m1071;0;
m1071;1;
m1071;2;
m1071;3;
m1072;0;
m1072;1;
m1072;2;
m1072;3;
m1072;4;
m1072;5;
m1072;6;
m1105;0;
m1105;1;
m1105;2;
m1105;3;
m1106;0;
m1106;1;
m1106;2;
m1106;3;
m1106;4;
m1106;5;
m1107;0;
m1107;1;
m1107;2;
m1107;3;
m1108;0;
m1108;1;
m1108;2;
m1109;0;
m1109;1;
m1109;2;
m1110;0;
m1110;1;
m1110;2;
m1111;0;
m1111;1;
m1111;2;
m1112;0;
m1112;1;
m1112;2;
m1114;0;
m1114;1;
m1114;2;
m1115;0;
m1115;1;
m1115;2;
m1115;3;
m1115;4;
m1115;5;
m1115;6;
m1115;7;
m1116;0;
m1116;1;
m1116;2;
m1117;0;
m1117;1;
m1117;2;
m1118;0;
m1118;1;
m1118;2;
m1119;0;
m1119;1;
m1119;2;
m1120;0;
m1120;1;
m1120;2;
m1121;0;
m1121;1;
m1121;2;
m1122;0;
m1122;1;
m1122;2;
m1123;0;
m1123;1;
m1123;2;
m1124;0;
m1124;1;
m1124;2;
m1125;0;
m1125;1;
m1125;2;
m1126;0;
m1126;1;
m1126;2;
m1127;0;
m1127;1;
m1127;2;
m1130;0;
m1130;1;
m1130;2;
m1131;0;
m1131;1;
m1131;2;
m1132;0;
m1132;1;
m1132;2;
m1133;0;
m1133;1;
m1133;2;
m1134;0;
m1134;1;
m1134;2;
m1135;0;
m1135;1;
m1135;2;
m1136;0;
m1136;1;
m1136;2;
m1137;0;
m1137;1;
m1137;2;
m1138;0;
m1138;1;
m1138;2;
m1139;0;
m1139;1;
m1139;2;
m1140;0;
m1140;1;
m1140;2;
m1144;0;
m1144;1;
m1144;2;
m1144;3;
m1144;4;
m1144;5;
m1144;6;
m1144;7;
m1144;8;
m1144;9;
m1144;10;
m1144;11;
m1144;12;
m1144;13;
m1144;14;
m1144;15;
m1144;16;
m1145;0;
m1145;1;
m1145;2;
m1145;3;
m1145;4;
m1145;5;
m1145;6;
m1145;7;
m1145;8;
m1145;9;
m1145;10;
m1145;11;
m1145;12;
m1145;13;
m1145;14;
m1145;15;
m1145;16;
m1151;0;
m1151;1;
m1151;2;
m1151;3;
m1152;0;
m1152;1;
m1152;2;
m1153;0;
m1153;1;
m1153;2;
m1154;0;
m1154;1;
m1154;2;
m1155;0;
m1155;1;
m1155;2;
m1156;0;
m1156;1;
m1156;2;
m1156;3;
m1156;4;
m1158;0;
m1158;1;
m1158;2;
m1158;3;
m1158;4;
m1158;5;
m1158;6;
m1158;7;
m1158;8;
m1158;9;
m1158;10;
m1158;11;
m1158;12;
m1158;13;
m1162;0;
m1162;1;
m1162;2;
m1162;3;
m1163;0;m1164,
m1163;1;m1164,
m1163;2;m1164,
m1164;0;
m1164;1;
m2000;1;
m2001;1;m2001,m2002,
m2001;2;m2001,m2002,
m2002;1;
m2002;2;
m2002;3;
m2101;-1;m2108,m2109,
m2101;0;m2108,m2109,
m2101;2;m2108,m2109,
m2101;4;m2108,m2109,
m2102;-1;m2108,m2109,
m2102;0;m2108,m2109,
m2102;4;m2108,m2109,
m2103;-1;m2108,m2109,
m2103;0;m2108,m2109,
m2103;2;m2108,m2109,
m2103;4;m2108,m2109,
m2104;-1;m2108,m2109,
m2104;0;m2108,m2109,
m2104;2;m2108,m2109,
m2104;4;m2108,m2109,
m2105;-1;m2108,m2109,
m2105;0;m2108,m2109,
m2105;4;m2108,m2109,
m2106;-1;m2108,m2109,
m2106;0;m2108,m2109,
m2106;2;m2108,m2109,
m2106;4;m2108,m2109,
m2107;-1;m2108,m2109,
m2107;0;m2108,m2109,
m2107;2;m2108,m2109,
m2107;4;m2108,m2109,
m2108;-1;m2109,
m2108;0;m2109,
m2109;0;
m2109;1;
m2109;2;
m2109;3;
m2111;0;m2117,
m2111;1;m2117,
m2111;2;m2117,
m2111;3;m2117,
m2112;0;m2117,
m2112;1;m2117,
m2112;2;m2117,
m2112;3;m2117,
m2113;0;m2117,
m2113;1;m2117,
m2113;2;m2117,
m2113;3;m2117,
m2114;0;m2117,
m2114;1;m2117,
m2114;2;m2117,
m2114;3;m2117,
m2115;0;m2117,
m2115;1;m2117,
m2115;2;m2117,
m2115;3;m2117,
m2117;0;
m2117;1;
m2117;2;
m2117;3;
m2117;4;
m2117;5;
m2117;6;
m2118;0;
m5001;0;m5040,
m5001;1;m5040,
m5001;2;m5040,
m5001;3;m5040,
m5001;4;m5040,
m5001;5;m5040,
m5002;0;m5035,
m5002;1;m5035,
m5002;2;m5035,
m5002;3;m5035,
m5002;4;m5035,
m5002;5;m5035,
m5003;0;m5038,
m5003;1;m5038,
m5003;2;m5038,
m5003;3;m5038,
m5003;4;m5038,
m5003;5;m5038,
m5004;0;m5036,
m5004;1;m5036,
m5004;2;m5036,
m5004;3;m5036,
m5004;4;m5036,
m5004;5;m5036,
m5005;0;m5036,
m5005;1;m5036,
m5005;2;m5036,
m5005;3;m5036,
m5005;4;m5036,
m5005;5;m5036,
m5006;0;m5035,
m5006;1;m5035,
m5006;2;m5035,
m5006;3;m5035,
m5006;4;m5035,
m5006;5;m5035,
m5007;0;m5037,
m5007;1;m5037,
m5007;2;m5037,
m5007;3;m5037,
m5007;4;m5037,
m5007;5;m5037,
m5008;0;m5035,
m5008;1;m5035,
m5008;2;m5035,
m5008;3;m5035,
m5008;4;m5035,
m5008;5;m5035,
m5009;0;m5037,
m5009;1;m5037,
m5009;2;m5037,
m5009;3;m5037,
m5009;4;m5037,
m5009;5;m5037,
m5010;0;m41,m5041,
m5010;1;m41,m5041,
m5010;2;m41,m5041,
m5010;3;m41,m5041,
m5010;4;m41,m5041,
m5010;5;m41,m5041,
m5011;0;m5039,
m5011;1;m5039,
m5011;2;m5039,
m5011;3;m5039,
m5011;4;m5039,
m5011;5;m5039,
m5012;0;m5037,
m5012;1;m5037,
m5012;2;m5037,
m5012;3;m5037,
m5012;4;m5037,
m5012;5;m5037,
m5013;0;m5040,
m5013;1;m5040,
m5013;2;m5040,
m5013;3;m5040,
m5013;4;m5040,
m5013;5;m5040,
m5014;0;m5035,
m5014;1;m5035,
m5014;2;m5035,
m5014;3;m5035,
m5014;4;m5035,
m5014;5;m5035,
m5015;0;m41,m5041,
m5015;1;m41,m5041,
m5015;2;m41,m5041,
m5015;3;m41,m5041,
m5015;4;m41,m5041,
m5015;5;m41,m5041,
m5016;0;m5037,
m5016;1;m5037,
m5016;2;m5037,
m5016;3;m5037,
m5016;4;m5037,
m5016;5;m5037,
m5017;0;m5040,
m5017;1;m5040,
m5017;2;m5040,
m5017;3;m5040,
m5017;4;m5040,
m5017;5;m5040,
m5018;0;m5038,
m5018;1;m5038,
m5018;2;m5038,
m5018;3;m5038,
m5018;4;m5038,
m5018;5;m5038,
m5019;0;m5036,
m5019;1;m5036,
m5019;2;m5036,
m5019;3;m5036,
m5019;4;m5036,
m5019;5;m5036,
m5020;0;m5038,
m5020;1;m5038,
m5020;2;m5038,
m5020;3;m5038,
m5020;4;m5038,
m5020;5;m5038,
m5021;0;m5039,
m5021;1;m5039,
m5021;2;m5039,
m5021;3;m5039,
m5021;4;m5039,
m5021;5;m5039,
m5022;0;m5036,
m5022;1;m5036,
m5022;2;m5036,
m5022;3;m5036,
m5022;4;m5036,
m5022;5;m5036,
m5023;0;m5035,
m5023;1;m5035,
m5023;2;m5035,
m5023;3;m5035,
m5023;4;m5035,
