csúcsid;alcsúcsid;kapcsolat
m402;8;m406,m416,m431,m768,m407,m417,m556,
m403;-1;m406,m416,m432,m765,m769,m407,m417,m766,m767,m770,m556,
m403;0;m406,m416,m432,m765,m769,m407,m417,m766,m767,m770,m556,
m403;1;m406,m416,m432,m765,m769,m407,m417,m766,m767,m770,m556,
m403;3;m406,m416,m432,m765,m769,m407,m417,m766,m767,m770,m556,
m403;4;m406,m416,m432,m765,m769,m407,m417,m766,m767,m770,m556,
m404;-1;m406,m407,m556,
m404;0;m406,m407,m556,
m404;1;m406,m407,m556,
m404;2;m406,m407,m556,
m404;3;m406,m407,m556,
m405;-1;m406,m407,m556,
m405;0;m406,m407,m556,
m405;1;m406,m407,m556,
m405;2;m406,m407,m556,
m405;3;m406,m407,m556,
m406;-1;m407,m556,
m406;0;m407,m556,
m407;-1;m556,
m407;1;m556,
m407;2;m556,
m407;3;m556,
m407;4;m556,
m407;5;m556,
m408;-1;m413,m797,m414,m798,
m408;0;m413,m797,m414,m798,
m408;2;m413,m797,m414,m798,
m409;-1;m413,m797,m414,m798,
m409;0;m413,m797,m414,m798,
m409;2;m413,m797,m414,m798,
m409;4;m413,m797,m414,m798,
m410;-1;m413,m797,m414,m798,
m410;0;m413,m797,m414,m798,
m410;2;m413,m797,m414,m798,
m410;4;m413,m797,m414,m798,
m411;-1;m413,m414,
m411;0;m413,m414,
m411;2;m413,m414,
m411;4;m413,m414,
m412;-1;m413,m414,
m412;0;m413,m414,
m412;2;m413,m414,
m413;-1;m414,
m413;0;m414,
m414;0;
m414;1;
m414;2;
m415;1;
m415;2;
m415;3;
m415;4;
m416;-1;m417,
m416;0;m417,
m417;-1;
m417;1;
m417;2;
m417;3;
m417;4;
m417;5;
m418;-1000;
m418;0;
m419;-1000;
m419;0;
m420;-1000;
m420;0;
m421;-1000;
m421;0;
m422;0;m423,m843,
m422;1;m423,m843,
m423;0;
m423;1;
m423;2;
m424;0;
m424;1;
m424;2;
m425;0;
m425;1;
m425;2;
m426;-1000;m428,m792,m799,m808,m800,m809,
m426;1;m428,m792,m799,m808,m800,m809,
m427;-1000;m429,m793,m799,m808,m800,m809,
m427;1;m429,m793,m799,m808,m800,m809,
m428;-1000;
m428;0;
m429;-1000;
m429;0;
m430;-1;m769,m770,
m430;0;m769,m770,
m430;1;m769,m770,
m431;-1;
m431;0;
m431;1;
m432;-1;
m432;0;
m432;1;
m433;0;
m433;1;
m433;2;
m435;0;
m435;1;
m435;2;
m437;0;
m437;1;
m437;2;
m446;0;
m446;1;
m448;0;
m448;1;
m449;0;m476,
m449;1;m476,
m449;2;m476,
m449;3;m476,
m450;0;
m450;1;
m450;2;
m450;3;
m452;0;
m452;1;
m452;2;
m453;0;
m453;1;
m453;2;
m454;0;
m454;1;
m454;2;
m455;0;m476,
m455;1;m476,
m455;2;m476,
m457;0;
m457;1;
m457;2;
m458;0;m476,
m458;1;m476,
m458;2;m476,
m458;3;m476,
m459;0;m476,
m459;1;m476,
m459;2;m476,
m460;0;m476,
m460;1;m476,
m460;2;m476,
m461;0;
m461;1;
m461;2;
m462;0;
m462;1;
m462;2;
m464;0;
m464;1;
m464;2;
m465;0;
m465;1;
m465;2;
m466;0;
m466;1;
m466;2;
m467;0;
m467;1;
m467;2;
m468;0;
m468;1;
m468;2;
m469;0;
m469;1;
m469;2;
m470;0;
m470;1;
m470;2;
m471;0;
m471;1;
m471;2;
m472;0;
m472;1;
m472;2;
m473;0;
m473;1;
m473;2;
m474;0;
m474;1;
m474;2;
m475;0;
m475;1;
m475;2;
m476;0;
m476;1;
m476;2;
m477;0;
m477;1;
m477;2;
m492;-1;
m492;0;
m492;1;
m492;2;
m492;3;
m493;-1;
m493;0;
m493;1;
m493;2;
m493;3;
m494;-1;
m494;0;
m494;1;
m494;2;
m494;3;
m496;-1;
m496;0;
m496;1;
m496;2;
m496;3;
m497;-1;
m497;0;
m497;1;
m497;2;
m497;3;
m498;-1;
m498;0;
m498;1;
m498;2;
m498;3;
m499;-1;
m499;0;
m499;1;
m499;2;
m501;-1;m501,m714,
m501;0;m501,m714,
m502;-1;m502,m714,m2001,m2002,
m502;0;m502,m714,m2001,m2002,
m502;1;m502,m714,m2001,m2002,
m502;2;m502,m714,m2001,m2002,
m503;-1;m503,m714,
m503;0;m503,m714,
m504;-1;m504,m714,
m504;0;m504,m714,
m505;-1;m505,m714,
m505;0;m505,m714,
m506;-1;m506,m714,
m506;0;m506,m714,
m507;-1;m507,m714,m1010,m1028,m2002,m78,m83,m265,m1012,m1016,m1018,m1021,m1022,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m1060,m1063,m1064,m1068,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1049,m1066,m1015,m320,
m507;0;m507,m714,m1010,m1028,m2002,m78,m83,m265,m1012,m1016,m1018,m1021,m1022,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m1060,m1063,m1064,m1068,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1049,m1066,m1015,m320,
